mOTUs_ID	Original name	Species
ref_mOTU_v31_04054	Actinomyces graevenitzii	Actinomyces graevenitzii
ref_mOTU_v31_02018	Actinomyces naeslundii	Actinomyces naeslundii
ref_mOTU_v31_02114	Alloscardovia omnicolens DSM 21503	Alloscardovia omnicolens
ref_mOTU_v31_02703	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis
ref_mOTU_v31_01099	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	Bifidobacterium longum
ref_mOTU_v31_03626	Collinsella aerofaciens ATCC 25986	Collinsella aerofaciens
ref_mOTU_v31_03473	Bacteroides caccae ATCC 43185	Bacteroides caccae
ref_mOTU_v31_01598	Bacteroides fragilis NCTC 9343	Bacteroides fragilis
ref_mOTU_v31_01597	Bacteroides fragilis NCTC 9343	Bacteroides fragilis
ref_mOTU_v31_01579	Bacteroides stercoris CC31F	Bacteroides stercoris
ref_mOTU_v31_01657	Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron
ref_mOTU_v31_00855	Bacteroides uniformis ATCC 8492	Bacteroides uniformis
ref_mOTU_v31_03697	Odoribacter splanchnicus DSM 20712	Odoribacter splanchnicus
ref_mOTU_v31_03701	Segatella copri DSM 18205	Segatella copri
ref_mOTU_v31_03640	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis
ref_mOTU_v31_05401	Parabacteroides merdae ATCC 43184	Parabacteroides merdae
ref_mOTU_v31_04194	Gemella haemolysans ATCC 10379	Gemella haemolysans
ref_mOTU_v31_11495	Gemella morbillorum	Gemella morbillorum
ref_mOTU_v31_00318	Enterococcus faecalis ATCC 19433	Enterococcus faecalis
ref_mOTU_v31_01407	Limosilactobacillus fermentum ATCC 14931	Limosilactobacillus fermentum
ref_mOTU_v31_01039	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus gasseri
ref_mOTU_v31_04085	Limosilactobacillus reuteri subsp. reuteri F275	Limosilactobacillus reuteri
ref_mOTU_v31_01239	Ligilactobacillus ruminis ATCC 25644	Ligilactobacillus ruminis
ref_mOTU_v31_00569	Streptococcus anginosus SK52 = DSM 20563	Streptococcus anginosus
ref_mOTU_v31_00566	Streptococcus anginosus SK52 = DSM 20563	Streptococcus anginosus
ref_mOTU_v31_00567	Streptococcus anginosus SK52 = DSM 20563	Streptococcus anginosus
ref_mOTU_v31_00570	Streptococcus anginosus SK52 = DSM 20563	Streptococcus anginosus
ref_mOTU_v31_01349	Streptococcus salivarius	Streptococcus salivarius
ref_mOTU_v31_01350	Streptococcus salivarius	Streptococcus salivarius
ref_mOTU_v31_01591	Streptococcus sanguinis	Streptococcus sanguinis
ref_mOTU_v31_01592	Streptococcus sanguinis	Streptococcus sanguinis
ref_mOTU_v31_02375	[Eubacterium] eligens ATCC 27750	[Eubacterium] eligens
ref_mOTU_v31_02376	[Eubacterium] eligens ATCC 27750	[Eubacterium] eligens
ref_mOTU_v31_03632	Anaerobutyricum hallii DSM 3353	Anaerobutyricum hallii
ref_mOTU_v31_03670	Blautia hansenii DSM 20583	Blautia hansenii
ref_mOTU_v31_01594	[Ruminococcus] gnavus ATCC 29149	[Ruminococcus] gnavus
ref_mOTU_v31_03690	Coprococcus comes ATCC 27758	Coprococcus comes
ref_mOTU_v31_03668	Dorea formicigenerans ATCC 27755	Dorea formicigenerans
ref_mOTU_v31_03657	[Eubacterium] rectale DSM 17629	[Eubacterium] rectale
ref_mOTU_v31_03702	Roseburia intestinalis L1-82	Roseburia intestinalis
ref_mOTU_v31_03439	Thomasclavelia ramosa DSM 1402	Thomasclavelia ramosa
ref_mOTU_v31_00095	Escherichia coli BW25113	Escherichia coli
ref_mOTU_v31_03591	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila
ref_mOTU_v31_00568	Streptococcus anginosus SK52 = DSM 20563	Streptococcus anginosus
ref_mOTU_v31_00285	Streptococcus mitis	Streptococcus mitis
ref_mOTU_v31_03437	[Clostridium] scindens ATCC 35704	[Clostridium] scindens
ref_mOTU_v31_00892	Capnocytophaga ochracea DSM 7271	Capnocytophaga ochracea
ref_mOTU_v31_03475	Bacteroides ovatus	Bacteroides ovatus
ref_mOTU_v31_02367	Bacteroides vulgatus	Bacteroides vulgatus
ref_mOTU_v31_03442	Clostridium bolteae	Clostridium bolteae
ref_mOTU_v31_06108	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
ref_mOTU_v31_06110	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
meta_mOTU_v31_13917	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
ref_mOTU_v31_06109	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
ref_mOTU_v31_06111	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
ref_mOTU_v31_06112	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii
ref_mOTU_v31_01406	Lactobacillus paracasei	Lactobacillus paracasei
