,Original name,species,originalRank,originaltaxID,genusTaxID,genusName
0,Actinomyces graevenitzii,Actinomyces graevenitzii,species,55565,1654,Actinomyces
1,Actinomyces naeslundii,Actinomyces naeslundii,species,1655,1654,Actinomyces
2,Akkermansia muciniphila,Akkermansia muciniphila,species,239935,239934,Akkermansia
3,Alloscardovia omnicolens,Alloscardovia omnicolens,species,419015,419014,Alloscardovia
4,Bacteroides caccae,Bacteroides caccae,species,47678,816,Bacteroides
5,Bacteroides fragilis,Bacteroides fragilis,species,817,816,Bacteroides
6,Bacteroides ovatus,Bacteroides ovatus,species,28116,816,Bacteroides
7,Bacteroides stercoris,Bacteroides stercoris,species,46506,816,Bacteroides
8,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,818,816,Bacteroides
9,Bacteroides uniformis,Bacteroides uniformis,species,820,816,Bacteroides
10,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,371601,816,Bacteroides
11,Phocaeicola vulgatus,Phocaeicola vulgatus,species,821,909656,Phocaeicola
12,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1680,1678,Bifidobacterium
13,Bifidobacterium longum,Bifidobacterium longum,species,216816,1678,Bifidobacterium
14,Blautia hansenii,Blautia hansenii,species,1322,572511,Blautia
15,Capnocytophaga ochracea,Capnocytophaga ochracea,species,1018,1016,Capnocytophaga
16,Enterocloster bolteae,Enterocloster bolteae,species,208479,2719313,Enterocloster
17,Thomasclavelia ramosa,Thomasclavelia ramosa,species,1547,3025755,Thomasclavelia
18,[Clostridium] scindens,[Clostridium] scindens,species,29347,1506553,Lachnoclostridium
19,Collinsella aerofaciens,Collinsella aerofaciens,species,74426,102106,Collinsella
20,Coprococcus comes,Coprococcus comes,species,410072,33042,Coprococcus
21,Dorea formicigenerans,Dorea formicigenerans,species,39486,189330,Dorea
22,Enterococcus faecalis,Enterococcus faecalis,species,1351,1350,Enterococcus
23,Escherichia coli,Escherichia coli,species,562,561,Escherichia
24,Lachnospira eligens,Lachnospira eligens,species,39485,28050,Lachnospira
25,Anaerobutyricum hallii,Anaerobutyricum hallii,species,39488,2569097,Anaerobutyricum
26,[Eubacterium] rectale,[Eubacterium] rectale,species,39491,2840493,Lachnospiraceae incertae sedis
27,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,411483,216851,Faecalibacterium
28,Gemella haemolysans,Gemella haemolysans,species,1379,1378,Gemella
29,Gemella morbillorum,Gemella morbillorum,species,29391,1378,Gemella
30,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1613,2742598,Limosilactobacillus
31,Limosilactobacillus reuteri,Limosilactobacillus reuteri,species,1598,2742598,Limosilactobacillus
32,Lactobacillus gasseri,Lactobacillus gasseri,species,1596,1578,Lactobacillus
33,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,1597,2759736,Lacticaseibacillus
34,Ligilactobacillus ruminis,Ligilactobacillus ruminis,species,1623,2767887,Ligilactobacillus
35,Odoribacter splanchnicus,Odoribacter splanchnicus,species,28118,283168,Odoribacter
36,Parabacteroides distasonis,Parabacteroides distasonis,species,823,375288,Parabacteroides
37,Parabacteroides merdae,Parabacteroides merdae,species,46503,375288,Parabacteroides
38,Segatella copri,Segatella copri,species,165179,2974251,Segatella
39,Roseburia intestinalis,Roseburia intestinalis,species,166486,841,Roseburia
40,[Ruminococcus] gnavus,[Ruminococcus] gnavus,species,33038,2316020,Mediterraneibacter
41,Streptococcus anginosus,Streptococcus anginosus,species,1328,1301,Streptococcus
42,Streptococcus mitis,Streptococcus mitis,species,28037,1301,Streptococcus
43,Streptococcus salivarius,Streptococcus salivarius,species,1304,1301,Streptococcus
44,Streptococcus sanguinis,Streptococcus sanguinis,species,1305,1301,Streptococcus
